theta_deg,O_x,O_y,G_x,G_y,J1_x,J1_y,J2_x,J2_y,J3_x,J3_y,J4_x,J4_y,J5_x,J5_y,F_x,F_y
0.0000,0.000000,0.000000,-38.000000,-7.800000,15.000000,0.000000,-24.013535,31.272097,-74.794365,8.143170,-26.952107,-45.515170,-59.231515,-28.052930,-43.160111,-91.756933
5.0000,0.000000,0.000000,-38.000000,-7.800000,14.942920,1.307336,-24.862116,31.565543,-75.130677,7.343409,-25.912338,-45.194899,-58.540616,-28.393545,-41.175417,-91.757098
10.0000,0.000000,0.000000,-38.000000,-7.800000,14.772116,2.604723,-25.776471,31.858988,-75.471124,6.480227,-24.949210,-44.869757,-57.948171,-28.808668,-39.158111,-91.764396
15.0000,0.000000,0.000000,-38.000000,-7.800000,14.488887,3.882286,-26.755217,32.147526,-75.810889,5.554650,-24.063769,-44.546040,-57.449583,-29.305391,-37.109378,-91.777513
20.0000,0.000000,0.000000,-38.000000,-7.800000,14.095389,5.130302,-27.796596,32.426118,-76.145002,4.568056,-23.256864,-44.229795,-57.039236,-29.889595,-35.031653,-91.794008
25.0000,0.000000,0.000000,-38.000000,-7.800000,13.594617,6.339274,-28.898418,32.689643,-76.468390,3.522233,-22.529231,-43.926795,-56.710716,-30.565804,-32.928826,-91.810491
30.0000,0.000000,0.000000,-38.000000,-7.800000,12.990381,7.500000,-30.058011,32.932970,-76.775934,2.419438,-21.881568,-43.642519,-56.457093,-31.337113,-30.806350,-91.822891
35.0000,0.000000,0.000000,-38.000000,-7.800000,12.287281,8.603647,-31.272176,33.151024,-77.062543,1.262433,-21.314630,-43.382136,-56.271262,-32.205202,-28.671237,-91.826747
40.0000,0.000000,0.000000,-38.000000,-7.800000,11.490667,9.641814,-32.537156,33.338879,-77.323229,0.054533,-20.829322,-43.150499,-56.146285,-33.170413,-26.531995,-91.817526
45.0000,0.000000,0.000000,-38.000000,-7.800000,10.606602,10.606602,-33.848611,33.491839,-77.553191,-1.200374,-20.426797,-42.952134,-56.075735,-34.231857,-24.398517,-91.790904
50.0000,0.000000,0.000000,-38.000000,-7.800000,9.641814,11.490667,-35.201605,33.605543,-77.747914,-2.497803,-20.108565,-42.791236,-56.054014,-35.387538,-22.281974,-91.743011
55.0000,0.000000,0.000000,-38.000000,-7.800000,8.603647,12.287281,-36.590602,33.676061,-77.903261,-3.832661,-19.876608,-42.671660,-56.076640,-36.634469,-20.194731,-91.670627
60.0000,0.000000,0.000000,-38.000000,-7.800000,7.500000,12.990381,-38.009469,33.699999,-78.015573,-5.199250,-19.733496,-42.596908,-56.140505,-37.968769,-18.150295,-91.571325
65.0000,0.000000,0.000000,-38.000000,-7.800000,6.339274,13.594617,-39.451488,33.674609,-78.081778,-6.591266,-19.682526,-42.570104,-56.244114,-39.385723,-16.163306,-91.443564
70.0000,0.000000,0.000000,-38.000000,-7.800000,5.130302,14.095389,-40.909380,33.597893,-78.099492,-8.001814,-19.727866,-42.593952,-56.387813,-40.879816,-14.249574,-91.286748
75.0000,0.000000,0.000000,-38.000000,-7.800000,3.882286,14.488887,-42.375322,33.468712,-78.067125,-9.423423,-19.874708,-42.670672,-56.574012,-42.444721,-12.426146,-91.101230
80.0000,0.000000,0.000000,-38.000000,-7.800000,2.604723,14.772116,-43.840976,33.286896,-77.983988,-10.848065,-20.129443,-42.801903,-56.807416,-44.073248,-10.711409,-90.888290
