theta_deg,O_x,O_y,G_x,G_y,J1_x,J1_y,J2_x,J2_y,J3_x,J3_y,J4_x,J4_y,J5_x,J5_y,F_x,F_y
0.0000,0.000000,0.000000,-38.000000,-7.800000,15.000000,0.000000,-26.561985,31.152895,-76.621842,5.844347,-26.279474,-44.687439,-64.073966,-32.630081,-42.883468,-90.693154
5.0000,0.000000,0.000000,-38.000000,-7.800000,14.942920,1.307336,-27.400573,31.389390,-76.905763,5.012355,-25.262585,-44.348764,-63.306500,-33.103138,-40.878050,-90.699338
10.0000,0.000000,0.000000,-38.000000,-7.800000,14.772116,2.604723,-28.307094,31.623391,-77.190869,4.111787,-24.321423,-44.007049,-62.614287,-33.640750,-38.865057,-90.705028
15.0000,0.000000,0.000000,-38.000000,-7.800000,14.488887,3.882286,-29.279962,31.849932,-77.472072,3.143967,-23.456886,-43.668534,-61.993251,-34.247701,-36.846951,-90.710267
20.0000,0.000000,0.000000,-38.000000,-7.800000,14.095389,5.130302,-30.317245,32.063912,-77.744126,2.110567,-22.669668,-43.339201,-61.438975,-34.928235,-34.826334,-90.714658
25.0000,0.000000,0.000000,-38.000000,-7.800000,13.594617,6.339274,-31.416604,32.260143,-78.001678,1.013660,-21.960341,-43.024753,-60.946823,-35.685967,-32.806106,-90.717392
30.0000,0.000000,0.000000,-38.000000,-7.800000,12.990381,7.500000,-32.575241,32.433421,-78.239333,-0.144219,-21.329436,-42.730591,-60.512079,-36.523819,-30.789612,-90.717293
35.0000,0.000000,0.000000,-38.000000,-7.800000,12.287281,8.603647,-33.789864,32.578595,-78.451721,-1.360033,-20.777535,-42.461803,-60.130104,-37.443951,-28.780797,-90.712878
40.0000,0.000000,0.000000,-38.000000,-7.800000,11.490667,9.641814,-35.056648,32.690652,-78.633583,-2.630201,-20.305358,-42.223154,-59.796492,-38.447722,-26.784342,-90.702441
45.0000,0.000000,0.000000,-38.000000,-7.800000,10.606602,10.606602,-36.371218,32.764803,-78.779858,-3.950577,-19.913870,-42.019085,-59.507255,-39.535652,-24.805814,-90.684138
50.0000,0.000000,0.000000,-38.000000,-7.800000,9.641814,11.490667,-37.728634,32.796583,-78.885777,-5.316426,-19.604379,-41.853708,-59.259007,-40.707396,-22.851792,-90.656093
55.0000,0.000000,0.000000,-38.000000,-7.800000,8.603647,12.287281,-39.123392,32.781944,-78.946962,-6.722425,-19.378651,-41.730801,-59.049172,-41.961731,-20.930004,-90.616502
60.0000,0.000000,0.000000,-38.000000,-7.800000,7.500000,12.990381,-40.549429,32.717362,-78.959533,-8.162656,-19.239027,-41.653800,-58.876194,-43.296546,-19.049447,-90.563743
65.0000,0.000000,0.000000,-38.000000,-7.800000,6.339274,13.594617,-42.000142,32.599939,-78.920211,-9.630624,-19.188553,-41.625779,-58.739765,-44.708827,-17.220509,-90.496479
70.0000,0.000000,0.000000,-38.000000,-7.800000,5.130302,14.095389,-43.468409,32.427512,-78.826429,-11.119271,-19.231118,-41.649416,-58.641072,-46.194649,-15.455091,-90.413748
75.0000,0.000000,0.000000,-38.000000,-7.800000,3.882286,14.488887,-44.946619,32.198758,-78.676440,-12.621003,-19.371607,-41.726934,-58.583042,-47.749141,-13.766726,-90.315038
80.0000,0.000000,0.000000,-38.000000,-7.800000,2.604723,14.772116,-46.426706,31.913308,-78.469432,-14.127713,-19.616066,-41.860018,-58.570619,-49.366441,-12.170707,-90.200324
85.0000,0.000000,0.000000,-38.000000,-7.800000,1.307336,14.942920,-47.900185,31.571849,-78.205637,-15.630815,-19.971883,-42.049684,-58.611044,-51.039609,-10.684219,-90.070073
90.0000,0.000000,0.000000,-38.000000,-7.800000,0.000000,15.000000,-49.358185,31.176247,-77.886449,-17.121269,-20.447979,-42.296093,-58.714152,-52.760487,-9.326474,-89.925187
95.0000,0.000000,0.000000,-38.000000,-7.800000,-1.307336,14.942920,-50.791480,30.729654,-77.514544,-18.589609,-21.055013,-42.598294,-58.892673,-54.519495,-8.118857,-89.766868
100.0000,0.000000,0.000000,-38.000000,-7.800000,-2.604723,14.772116,-52.190507,30.236636,-77.094001,-20.025953,-21.805576,-42.953869,-59.162530,-56.305329,-7.085061,-89.596392
105.0000,0.000000,0.000000,-38.000000,-7.800000,-3.882286,14.488887,-53.545382,29.703297,-76.630431,-21.420009,-22.714373,-43.358452,-59.543119,-58.104536,-6.251203,-89.414749
110.0000,0.000000,0.000000,-38.000000,-7.800000,-5.130302,14.095389,-54.845883,29.137412,-76.131112,-22.761055,-23.798348,-43.805096,-60.057521,-59.900932,-5.645894,-89.222130
115.0000,0.000000,0.000000,-38.000000,-7.800000,-6.339274,13.594617,-56.081416,28.548571,-75.605127,-24.037897,-25.076703,-44.283452,-60.732607,-61.674833,-5.300191,-89.017198
120.0000,0.000000,0.000000,-38.000000,-7.800000,-7.500000,12.990381,-57.240944,27.948318,-75.063508,-25.238787,-26.570736,-44.778721,-61.598932,-63.402067,-5.247363,-88.796130
125.0000,0.000000,0.000000,-38.000000,-7.800000,-8.603647,12.287281,-58.312870,27.350299,-74.519369,-26.351296,-28.303355,-45.270374,-62.690281,-65.052762,-5.522339,-88.551361
130.0000,0.000000,0.000000,-38.000000,-7.800000,-9.641814,11.490667,-59.284859,26.770377,-73.988022,-27.362135,-30.298105,-45.730656,-64.042646,-66.589934,-6.160607,-88.270046
135.0000,0.000000,0.000000,-38.000000,-7.800000,-10.606602,10.606602,-60.143592,26.226718,-73.487044,-28.256896,-32.577449,-46.122967,-65.692356,-67.968023,-7.196312,-87.932253
140.0000,0.000000,0.000000,-38.000000,-7.800000,-11.490667,9.641814,-60.874442,25.739769,-73.036238,-29.019729,-35.159979,-46.400365,-67.672937,-69.131645,-8.659135,-87.509047
145.0000,0.000000,0.000000,-38.000000,-7.800000,-12.287281,8.603647,-61.461064,25.332079,-72.657433,-29.632939,-38.056190,-46.504660,-70.010225,-70.015151,-10.569474,-86.960796
150.0000,0.000000,0.000000,-38.000000,-7.800000,-12.990381,7.500000,-61.884927,25.027831,-72.373983,-30.076539,-41.262514,-46.366953,-72.715250,-70.543987,-12.931403,-86.236323
155.0000,0.000000,0.000000,-38.000000,-7.800000,-13.594617,6.339274,-62.124848,24.851920,-72.209817,-30.327834,-44.753518,-45.910942,-75.774581,-70.639411,-15.723048,-85.274000
160.0000,0.000000,0.000000,-38.000000,-7.800000,-14.095389,5.130302,-62.156674,24.828381,-72.187835,-30.361180,-48.472786,-45.060899,-79.138489,-70.228700,-18.884605,-84.006477
165.0000,0.000000,0.000000,-38.000000,-7.800000,-14.488887,3.882286,-61.953345,24.977941,-72.327445,-30.148186,-52.324085,-43.756564,-82.708824,-69.262860,-22.305867,-82.371652
170.0000,0.000000,0.000000,-38.000000,-7.800000,-14.772116,2.604723,-61.485750,25.314585,-72.641152,-29.658762,-56.166020,-41.976740,-86.331922,-67.741483,-25.819263,-80.334176
175.0000,0.000000,0.000000,-38.000000,-7.800000,-14.942920,1.307336,-60.724863,25.841296,-73.130382,-28.863502,-59.815293,-39.771031,-89.809555,-65.735388,-29.214664,-77.926240
180.0000,0.000000,0.000000,-38.000000,-7.800000,-15.000000,0.000000,-59.645598,26.545659,-73.781261,-27.737810,-63.064919,-37.292435,-92.955667,-63.375892,-32.312764,-75.325624
185.0000,0.000000,0.000000,-38.000000,-7.800000,-14.942920,-1.307336,-58.232436,27.396658,-74.561696,-26.267736,-65.722401,-34.809671,-95.729650,-60.759017,-35.140867,-72.980186
190.0000,0.000000,0.000000,-38.000000,-7.800000,-14.772116,-2.604723,-56.485994,28.344490,-75.421545,-24.456616,-67.663785,-32.661893,-98.352158,-57.802046,-38.110716,-71.634121
195.0000,0.000000,0.000000,-38.000000,-7.800000,-14.488887,-3.882286,-54.428688,29.324849,-76.297239,-22.330531,-68.877503,-31.137388,-101.052260,-54.344898,-41.774281,-71.851437
200.0000,0.000000,0.000000,-38.000000,-7.800000,-14.095389,-5.130302,-52.107026,30.267677,-77.120729,-19.940157,-69.457285,-30.349792,-103.608493,-50.536384,-46.167371,-73.359074
205.0000,0.000000,0.000000,-38.000000,-7.800000,-13.594617,-6.339274,-49.588786,31.108305,-77.830553,-17.357296,-69.542696,-30.230163,-105.582247,-46.811910,-50.781425,-75.399104
210.0000,0.000000,0.000000,-38.000000,-7.800000,-12.990381,-7.500000,-46.955208,31.797480,-78.381510,-14.666478,-69.260861,-30.621316,-106.786216,-43.491874,-55.140621,-77.449057
215.0000,0.000000,0.000000,-38.000000,-7.800000,-12.287281,-8.603647,-44.290495,32.307180,-78.749952,-11.954064,-68.704523,-31.364511,-107.270034,-40.665311,-59.030445,-79.308548
220.0000,0.000000,0.000000,-38.000000,-7.800000,-11.490667,-9.641814,-41.671821,32.631101,-78.933732,-9.298147,-67.935591,-32.333941,-107.155149,-38.303016,-62.396545,-80.929593
225.0000,0.000000,0.000000,-38.000000,-7.800000,-10.606602,-10.606602,-39.162350,32.780847,-78.947978,-6.761734,-66.995084,-33.438623,-106.559463,-36.347822,-65.241834,-82.317499
230.0000,0.000000,0.000000,-38.000000,-7.800000,-9.641814,-11.490667,-36.808159,32.779991,-78.818948,-4.389962,-65.911285,-34.614437,-105.582262,-34.745453,-67.585756,-83.496076
235.0000,0.000000,0.000000,-38.000000,-7.800000,-8.603647,-12.287281,-34.638535,32.658086,-78.578011,-2.210730,-64.704987,-35.816023,-104.305499,-33.448962,-69.453887,-84.495243
240.0000,0.000000,0.000000,-38.000000,-7.800000,-7.500000,-12.990381,-32.668399,32.445872,-78.256949,-0.237397,-63.392597,-37.010784,-102.796910,-32.416910,-70.875902,-85.345230
245.0000,0.000000,0.000000,-38.000000,-7.800000,-6.339274,-13.594617,-30.901616,32.172104,-77.884943,1.527711,-61.987931,-38.174875,-101.112438,-31.611605,-71.884630,-86.073454
250.0000,0.000000,0.000000,-38.000000,-7.800000,-5.130302,-14.095389,-29.334310,31.861846,-77.487033,3.089861,-60.503255,-39.290592,-99.298131,-30.998360,-72.514822,-86.703046
255.0000,0.000000,0.000000,-38.000000,-7.800000,-3.882286,-14.488887,-27.957703,31.535842,-77.083643,4.459027,-58.949880,-40.344683,-97.391758,-30.545419,-72.801809,-87.252492
260.0000,0.000000,0.000000,-38.000000,-7.800000,-2.604723,-14.772116,-26.760316,31.210584,-76.690761,5.647672,-57.338510,-41.327241,-95.424263,-30.224137,-72.780320,-87.735958
265.0000,0.000000,0.000000,-38.000000,-7.800000,-1.307336,-14.942920,-25.729542,30.898734,-76.320458,6.669186,-55.679429,-42.230969,-93.421059,-30.009148,-72.483600,-88.163946
270.0000,0.000000,0.000000,-38.000000,-7.800000,-0.000000,-15.000000,-24.852705,30.609697,-75.981520,7.536852,-53.982605,-43.050677,-91.403133,-29.878447,-71.942841,-88.544065
275.0000,0.000000,0.000000,-38.000000,-7.800000,1.307336,-14.942920,-24.117724,30.350211,-75.680077,8.263209,-52.257728,-43.782927,-89.387966,-29.813352,-71.186879,-88.881772
280.0000,0.000000,0.000000,-38.000000,-7.800000,2.604723,-14.772116,-23.513482,30.124886,-75.420168,8.859708,-50.514220,-44.425786,-87.390262,-29.798378,-70.242072,-89.181013
285.0000,0.000000,0.000000,-38.000000,-7.800000,3.882286,-14.488887,-23.030015,29.936663,-75.204215,9.336548,-48.761214,-44.978625,-85.422519,-29.821044,-69.132314,-89.444755
290.0000,0.000000,0.000000,-38.000000,-7.800000,5.130302,-14.095389,-22.658564,29.787185,-75.033395,9.702643,-47.007532,-45.441975,-83.495453,-29.871646,-67.879123,-89.675391
295.0000,0.000000,0.000000,-38.000000,-7.800000,6.339274,-13.594617,-22.391554,29.677094,-74.907943,9.965658,-45.261643,-45.817396,-81.618312,-29.943009,-66.501768,-89.875036
300.0000,0.000000,0.000000,-38.000000,-7.800000,7.500000,-12.990381,-22.222525,29.606249,-74.827365,10.132095,-43.531626,-46.107375,-79.799092,-30.030234,-65.017420,-90.045731
305.0000,0.000000,0.000000,-38.000000,-7.800000,8.603647,-12.287281,-22.146041,29.573897,-74.790607,10.207391,-41.825129,-46.315221,-78.044693,-30.130453,-63.441305,-90.189581
310.0000,0.000000,0.000000,-38.000000,-7.800000,9.641814,-11.490667,-22.157577,29.578788,-74.796163,10.196035,-40.149333,-46.444977,-76.361017,-30.242586,-61.786857,-90.308812
315.0000,0.000000,0.000000,-38.000000,-7.800000,10.606602,-10.606602,-22.253420,29.619265,-74.842161,10.101677,-38.510918,-46.501329,-74.753028,-30.367111,-60.065858,-90.405805
320.0000,0.000000,0.000000,-38.000000,-7.800000,11.490667,-9.641814,-22.430554,29.693313,-74.926407,9.927249,-36.916035,-46.489519,-73.224791,-30.505847,-58.288584,-90.483071
325.0000,0.000000,0.000000,-38.000000,-7.800000,12.287281,-8.603647,-22.686553,29.798598,-75.046417,9.675064,-35.370288,-46.415262,-71.779492,-30.661742,-56.463933,-90.543220
330.0000,0.000000,0.000000,-38.000000,-7.800000,12.990381,-7.500000,-23.019486,29.932484,-75.199432,9.346928,-33.878718,-46.284658,-70.419450,-30.838673,-54.599559,-90.588893
